Rank,Title,Distributor,Domestic gross,Year
1,Love Story,Paramount,"$106,397,186",1970
2,Airport,Universal,"$100,489,150",1970
3,M*A*S*H,20th Century Fox,"$81,600,000",1970
4,Patton,20th Century Fox,"$62,500,000",1970
5,The Aristocats,Walt Disney,"$41,162,795",1970
6,Woodstock,Warner Bros.,"$34,505,110",1970
7,Little Big Man,National General Pictures,"$31,559,552",1970
8,Ryan's Daughter,MGM,"$30,846,306",1970
9,Tora! Tora! Tora!,20th Century Fox,"$29,548,291",1970
10,Catch-22,Paramount,"$24,911,670",1970
1,Billy Jack,Warner Bros.,"$98,000,000",1971
2,Fiddler on the Roof,United Artists,"$78,722,370",1971
3,Diamonds Are Forever,United Artists,"$43,800,000",1971
4,The French Connection,20th Century Fox,"$41,158,757",1971
5,Summer of '42,Warner Bros.,"$32,063,634",1971
6,Dirty Harry,Warner Bros.,"$28,153,434",1971
7,A Clockwork Orange,Warner Bros.,"$26,589,355",1971
8,The Last Picture Show,Columbia,"$20,505,085",1971
9,Bedknobs and Broomsticks,Walt Disney,"$17,871,174",1971
10,Sweet Sweetback's Baadasssss Song,Cinemation Industries,"$15,200,000",1971
1,The Godfather,Paramount,"$133,698,921",1972
2,The Poseidon Adventure,20th Century Fox,"$93,300,000",1972
3,"What's Up, Doc?",Warner Bros.,"$57,142,740",1972
4,Deliverance,Warner Bros.,"$46,122,355",1972
5,Deep Throat,Warner Bros.,"$45,000,000",1972
6,Jeremiah Johnson,Warner Bros.,"$44,693,786",1972
7,Cabaret,Allied Artists,"$41,326,446",1972
8,The Getaway,National General,"$36,734,619",1972
9,Last Tango in Paris,Metro-Goldwyn-Mayer,"$36,144,824",1972
10,Lady Sings the Blues,Paramount,"$19,726,490",1972
1,The Exorcist,Warner Bros.,"$193,000,000",1973
2,The Sting,Universal,"$159,616,327",1973
3,American Graffiti,Universal,"$115,291,850",1973
4,Papillon,Allied Artists,"$53,267,000",1973
5,The Way We Were,Columbia,"$49,919,870",1973
6,Magnum Force,Warner Bros.,"$44,680,473",1973
7,Live and Let Die,United Artists,"$35,400,000",1973
8,Robin Hood,Walt Disney,"$32,056,467",1973
9,Paper Moon,Paramount,"$30,933,743",1973
10,Serpico,Paramount Pictures,"$27,274,150",1973
1,Blazing Saddles,Warner Bros.,"$119,500,000",1974
2,The Towering Inferno,20th Century Fox / Warner Bros.,"$116,000,000",1974
3,The Trial of Billy Jack,Warner Bros.,"$89,000,000",1974
4,Young Frankenstein,20th Century Fox,"$86,300,000",1974
5,Earthquake,Universal,"$79,700,000",1974
6,The Godfather Part II,Paramount,"$57,300,000",1974
7,Airport 1975,Universal Pictures,"$47,285,152",1974
8,The Life and Times of Grizzly Adams,Sunn Classic,"$45,411,063",1974
9,The Longest Yard,Paramount,"$43,008,075",1974
10,Murder on the Orient Express,Anglo-EMI Film Distributors,"$35,733,867",1974
1,Jaws,Universal,"$272,965,550",1975
2,One Flew Over the Cuckoo's Nest,United Artists,"$108,981,275",1975
3,Shampoo,Columbia,"$49,407,734",1975
4,Dog Day Afternoon,Warner Bros.,"$46,665,856",1975
5,The Return of the Pink Panther,United Artists,"$41,833,347",1975
6,Three Days of the Condor,Paramount,"$41,509,797",1975
7,The Rocky Horror Picture Show,20th Century Fox,"$40,420,000",1975
8,Funny Lady,Columbia,"$40,055,897",1975
9,The Other Side of the Mountain,Universal,"$34,673,100",1975
10,Tommy,Columbia,"$34,251,525",1975
1,Rocky,United Artists,"$117,235,147",1976
2,To Fly!,IMAX Films,"$86,600,000",1976
3,A Star Is Born,Warner Bros.,"$63,129,898",1976
4,King Kong,Paramount,"$52,614,445",1976
5,Silver Streak,20th Century Fox,"$51,079,064",1976
6,All the President's Men,Warner Bros.,"$51,048,435",1976
7,The Omen,20th Century Fox,"$48,570,885",1976
8,The Enforcer,Warner Bros.,"$46,200,000",1976
9,Midway,Universal,"$43,220,000",1976
10,The Bad News Bears,Paramount,"$42,349,782",1976
1,Star Wars,20th Century Fox,"$221,280,994",1977
2,Smokey and the Bandit,Universal,"$126,737,428",1977
3,Close Encounters of the Third Kind,Columbia,"$116,395,460",1977
4,Saturday Night Fever,Paramount,"$94,213,184",1977
5,The Goodbye Girl,MGM / Warner Bros.,"$83,700,000",1977
6,A Bridge Too Far,United Artists,"$50,750,000",1977
7,The Deep,Columbia,"$47,346,365",1977
8,The Spy Who Loved Me,United Artists,"$46,838,673",1977
9,"Oh, God!",Warner Bros.,"$41,687,243",1977
10,Annie Hall,United Artists,"$38,251,425",1977
1,Grease,Paramount,"$159,978,870",1978
2,Superman,Warner Bros.,"$134,218,018",1978
3,National Lampoon’s Animal House,Universal,"$120,091,123",1978
4,Every Which Way but Loose,Warner Bros.,"$85,196,485",1978
5,Heaven Can Wait,Paramount,"$81,640,278",1978
6,Hooper,Warner Bros.,"$78,000,000",1978
7,Jaws 2,Universal,"$77,737,272",1978
8,Revenge of the Pink Panther,United Artists,"$49,579,269",1978
9,The Deer Hunter,Universal,"$48,979,328",1978
10,Halloween,Compass International,"$47,000,000",1978
1,Kramer vs. Kramer,Columbia,"$106,260,000",1979
